"","Land","Naam","Geboortedatum","Seizoenen"
"138","België","Fieuw, Olivier Olivier Fieuw","03-08-1974","1995-1997"
"139","Nederland","Fleur, Melvin Melvin Fleur","18-02-1982","2001-2002"
"140","Denemarken","Frimann, Per Per Frimann","04-06-1962","1981-1988"
"141","Argentinië","Frutos, Nicolás Nicolás Frutos","10-05-1981","2006-2010"
"142","Brazilië","Galhardo, Rafael Rafael Galhardo","30-10-1991","2015-2016"
"143","Nederland","Geels, Ruud Ruud Geels","28-07-1948","1978-1979"
"144","Rusland","Gerk, Anatoli Anatoli Gerk","20-11-1984","2003-2005"
"145","België","Gerkens, Pieter Pieter Gerkens","13-08-1995","2017-nu"
"146","België","Geys, Pierre Pierre Geys","29-04-1948","1967-1968"
"147","België","Geurts, Willy Willy Geurts","30-01-1954","1980-1982"
"148","België","Gillet, Guillaume Guillaume Gillet","09-03-1985","2008-2014, 2015"
"149","België","Gillis, Cor Cor Gillis","31-03-1989","2007-2008"
"150","België","Goor, Bart Bart Goor","09-04-1973","1997-2001, 2005-2008"
"151","België","Goossens, Dirk Dirk Goossens","26-09-1962","1983-1984"
"152","België","Goossens, Tony Tony Goossens","26-05-1948","1981-1983"
"153","België","Grégoire, Christophe Christophe Grégoire","20-04-1980","2005"
"154","Servië","Grujic, Spira Spira Grujic","07-12-1971","1997-1998"
"155","België","Grün, Georges Georges Grün","25-01-1962","1982-1990, 1994-1996"
"156","IJsland","Guðjohnsen, Arnór Arnór Guðjohnsen","30-07-1961","1983-1990"
"157","België","Haagdoren, Philip Philip Haagdoren","25-06-1970","1993-1995"
"158","Nederland","Haan, Arie Arie Haan","16-11-1948","1975-1981"
"159","Algerije","Hanni, Sofiane Sofiane Hanni","29-12-1990","2016-nu"
"160","België","Hanon, Pierre Pierre Hanon","29-12-1936","1954-1969"
"161","Tunesië","Harbaoui, Hamdi Hamdi Harbaoui","05-01-1985","2016"
"162","Albanië","Hasi, Besnik Besnik Hasi","29-12-1971","2000-2005"
"163","Egypte","Hassan, Ahmed Ahmed Hassan","02-05-1975","2006-2008"
"164","Saoedi-Arabië","Hawsawi, Osama Osama Hawsawi","31-03-1984","2012"
"165","België","Hendrikx, Marc Marc Hendrikx","02-07-1974","2001-2004"
"166","Frankrijk","Herbet, Yves Yves Herbet","17-08-1945","1968-1969"
"167","België","Herpoel, Frédéric Frédéric Herpoel","15-08-1974","1994-1997"
"168","België","Heylen, Michaël Michaël Heylen","03-01-1994","2014-2016"
"169","België","Heylens, Georges Georges Heylens","08-08-1941","1960-1973"
"170","België","Hoebeeck, Jan Jan Hoebeeck","08-01-1958","1975-1976"
"171","Nederland","Hofkens, Wim Wim Hofkens","27-03-1958","1980-1985"
"172","België","Houben, Jean-Marie Jean-Marie Houben","24-11-1966","1991-1993"
"173","Oekraïne","Iachtchouk, Oleg Oleg Iachtchouk","26-10-1977","1996-2006"
