"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1569","Owla, we staan al voor begot. <ed><U+00A0><U+00BD><ed><U+00B8><U+0088><ed><U+00A0><U+00BD><ed><U+00B8><U+0088><ed><U+00A0><U+00BD><ed><U+00B8><U+0088> #COYM #ChaAnd",FALSE,1,NA,2018-04-06 18:34:54,FALSE,NA,"982325794021232640",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","Calimerotweets",0,FALSE,FALSE,NA,NA
"1570","Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,152,NA,2018-04-06 18:34:51,FALSE,NA,"982325780687486981",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rscanderlecht",65,FALSE,FALSE,NA,NA
"1571","L’avantage d’avoir Charleroi en PO1 on peut rire chaque semaine, mieux que le cirque bouglione! #CHAAND",FALSE,0,NA,2018-04-06 18:34:50,FALSE,NA,"982325777894203393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordan_merlier1",0,FALSE,FALSE,NA,NA
"1572","03' DOELPUNT | Sporting Charleroi - RSC Anderlecht 0-1 (Morioka) | https://t.co/XAXYjsrCvG | #jpl #charleroi #rsca #chaand",FALSE,0,NA,2018-04-06 18:34:43,FALSE,NA,"982325745535127552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sportbe",0,FALSE,FALSE,NA,NA
"1573","[GOAL] we zijn amper 2 minuten bezig of @rscanderlecht staat al op voorsprong! Morioka tikt een voorzet van Markovi… https://t.co/JHcy951R78",FALSE,7,NA,2018-04-06 18:34:26,TRUE,NA,"982325675297296385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VTMStadion",1,FALSE,FALSE,NA,NA
"1574","'3 GOOOOAAALLLLL 0<U+20E3> - 1<U+20E3>!!

Markovic wint het duel en schotelt @morsista44 de openingstreffer voor!!

<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Wat een begi… https://t.co/MthUi08xRf",FALSE,0,NA,2018-04-06 18:34:26,TRUE,NA,"982325673850220545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","unibetbelgium",0,FALSE,FALSE,NA,NA
"1575","3 minuten bezig: 0-1 RSCA <U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #COYM #CHAAND",FALSE,0,NA,2018-04-06 18:34:25,FALSE,NA,"982325672172507141",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeymarsEilish",0,FALSE,FALSE,NA,NA
"1576","RT @V23Steve: 0-1 Morioka #chaand",FALSE,0,NA,2018-04-06 18:34:10,FALSE,NA,"982325610650505216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LORSCL",1,TRUE,FALSE,NA,NA
"1577","ca ne traîne pas au Mambourg: Morioka fait déjà 0-1  (0-1, direct) #CHAAND - https://t.co/1oJ6O8TFep https://t.co/eXC33bKIGx",FALSE,0,NA,2018-04-06 18:34:03,FALSE,NA,"982325578551341056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YMdF1954",0,FALSE,FALSE,NA,NA
"1578","#DIRECT Anderlecht ouvre le score grâce à un but de Morioka
https://t.co/a36YSSKk5Q
#chaand",FALSE,0,NA,2018-04-06 18:33:53,FALSE,NA,"982325536402927616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LesoirSports",0,FALSE,FALSE,NA,NA
"1579","Was al van dag 1 duidelijk dat we flank nodig hadden met voorzet.. 2de wedstrijd van de PO eindelijk bewijs! #chaand",FALSE,3,NA,2018-04-06 18:33:51,FALSE,NA,"982325529121640448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealmafaka",0,FALSE,FALSE,NA,NA
"1580","RT @rscanderlecht: Charleroi - #RSCA: the starting line-up! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Subs: de Jong, Sá, Chipciu, Ganvoula, Amuzu, Dante &amp; Sambi Lokonga <U+26BD><U+FE0F> #COYM #…",FALSE,0,NA,2018-04-06 18:33:51,FALSE,NA,"982325526919462912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoccerKiteretsu",25,TRUE,FALSE,NA,NA
"1581","Buuuuuuuuuut <U+26BD><U+FE0F> (0-1) #CHAAND

@LMarkec50 à l'assist pour @morsista44 . #And débute en force https://t.co/gzuLar5naZ",FALSE,0,NA,2018-04-06 18:33:50,FALSE,NA,"982325524461584385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","betfirst",0,FALSE,FALSE,NA,NA
"1582","GOOOOAL ! Charleroi-RSCA 0-1 Morioka 3' #COYM #RSCA #chaAND https://t.co/0fisb11wQ6",FALSE,4,NA,2018-04-06 18:33:50,FALSE,NA,"982325522960207872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rscafans",0,FALSE,FALSE,NA,NA
"1583","#DIRECT Anderlecht ouvre le score grâce à un but de Morioka
https://t.co/vBgMPyQATX
#chaand",FALSE,3,NA,2018-04-06 18:33:47,FALSE,NA,"982325514273804288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lesoir",0,FALSE,FALSE,NA,NA
"1584","C'est déjà 0-1 pour les Mauves (3e). Morioka reprend victorieusement un centre de Markovic, dont c'est la première… https://t.co/i1hJCVsAUi",FALSE,2,NA,2018-04-06 18:33:44,TRUE,NA,"982325501313171456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mced6",0,FALSE,FALSE,NA,NA
"1585","Qui se rappel quand certains demandaient #Dessoleil en équipe national? Magnifique #chaand",FALSE,1,NA,2018-04-06 18:33:38,FALSE,NA,"982325472787947520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RosartGabin",0,FALSE,FALSE,NA,NA
